dstocks,tablename
ACADREDGOMGB,ACADREDGOMGB
ALBAIO,ALBAIO
ALBANATL,ALBANATL
ALBANPAC,ALBANPAC
ALBASPAC,ALBASPAC
ALPLAICBSAI,ALPLAICBSAI
AMPL23K,AMPL23K
AMPL3LNO,AMPL3LNO
AMPL3M,AMPL3M
AMPL5YZ,AMPL5YZ
ANCHOBAYB,ICES-ANCHOVY-[8]-1960-2013
ANCHOSA,ANCHOSA
ANGLVIIIc-IXa,ICES-ANGLERFISH-[8c9a(bud)]-1980-2013
APOLLPJPN,APOLLPJPN
ARFLOUNDBSAI,ARFLOUNDBSAI
ARFLOUNDGA,ARFLOUNDGA
ARFLOUNDPCOAST,ARFLOUNDPCOAST
ARGANCHONARG,ARGANCHONARG
ARGANCHOSARG,ARGANCHOSARG
ARGHAKENARG,ARGHAKENARG
ATBTUNAEATL,ATBTUNAEATL
ATBTUNAWATL,ATBTUNAWATL
ATKABSAI,ATKABSAI
ATLCROAKMATLC,ATLCROAKMATLC
AUSSALMONNZ,AUSSALMONNZ
BGRDRNSWWA,BGRDRNSWWA
BGROCKPCOAST,BGROCKPCOAST
BIGEYECWPAC,BIGEYEWPO
BIGEYEEPAC,BIGEYEEPAC
BIGEYEIO,BIGEYEIO
BIGHTREDSE,BIGHTREDSE
BKCDLFENI,BKCDLFENI
BKINGCRABPI,BKINGCRABPI
BKINGCRABSMI,BKINGCRABSMI
BLACKGROUPERGMSATL,BLACKGROUPERGM
BLACKOREOPR,BLACKOREOPR
BLACKOREOWECR,BLACKOREOWECR
BLACKROCKCAL,BLACKROCKNPCOAST / BLACKROCKSPCOAST
BLACKROCKORECOAST,BLACKROCKNPCOAST / BLACKROCKSPCOAST
BLACKROCKWASH,BLACKROCKNPCOAST / BLACKROCKSPCOAST
BLUEFISHATLC,BLUEFISHATLC
BLUEROCKCAL,BLUEROCKCAL
BMACKECS,BMACKECS
BMACKPJPN,BMACKPJPN
BMARLINPAC,BMARLINPAC
BNSNZ,BNSNZ
BRMSOJ,BRMSOJ
BRNSHRIMPGM,BRNSHRIMPGM
BSBASSMATLC,BSBASSMATLC
BTSHRIMPNAUST,BTSHRIMPNAUST
BUTTERGOMCHATT,BUTTERGOMCHATT
BWHITNEA,ICES-B.WHITING-[1-9+12+14]-1981-2013
CABEZORECOAST,CABEZORECOAST
CALSCORPSCAL,CALSCORPSCAL
CAPEIIa-V-XIV,ICES-CAPELIN-[5+14]-1979-2012
CAPENOR,ICES-CAPELIN-[1+2]-1972-2013
CHAKESA,CHAKESA
CHILISPCOAST,CHILISPCOAST
CHTRACCH,CHTRACCH
CMACKPCOAST,CMACKPCOAST
CMACKPJPN,CMACKPJPN
CMACKTSST,CMACKTSST
COD2J3KL,COD2J3KL
COD3M,COD3M
COD3Pn4RS,COD3Pn4RS
COD4TVn,COD4TVn
COD4VsW,COD4VsW
COD4X5Yb,COD4X
CODBA2224,ICES-COD-[SD22-24]-1965-2013
CODBA2532,ICES-COD-[SD25-32]-1965-2013
CODFAPL,ICES-COD-[5b1(Faroe)]-1961-2013
CODGB,CODGB
CODGOM,CODGOM
CODICE,ICES-COD-[5a(Iceland)]-1955-2013
CODIIIaW-IV-VIId,ICES-COD-[4+7d+3awest]-1963-2013
CODIS,ICES-COD-[7a]-1968-2012
CODNEAR,ICES-COD-[1+2(NEArct)]-1950-2013
CODVIa,ICES-COD-[6a]-1982-2013
CODVIIek,ICES-COD-[7e-k]-1971-2013
COWCODSCAL,COWCODSCAL
CRLOBSTERSA8,CRLOBSTERSA8
CROCKPCOAST,CROCKPCOAST
CROCKWCVANISOGQCI,CROCKWCVANISOGQCI
CTRACSA,CTRACSA
DEEPCHAKESA,DEEPCHAKESA
DEEPFLATHEADSE,DEEPFLATHEADSE
DSOLEGA,DSOLEGA
